champion_name,version,champion_id,title,blurb,tags,partype,hp,hp_per_level,mp,mp_per_level,movement_speed,armor,armor_per_level,spellblock,spellblock_per_level,attack_range,hp_regen,hp_regen_per_level,mp_regen,mp_regen_per_level,crit,crit_per_level,attack_damage,attack_damager_per_level,attack_speed_per_level,attack_speed,attack,defense,magic,difficulty
Corki,10.23.1,42,the Daring Bombardier,"The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He...",['Marksman'],Mana,518.0,87.0,350.0,54.0,325.0,28.0,3.5,30.0,0.5,550.0,5.5,0.55,7.424,0.55,0.0,0.0,55.0,2.5,2.3,0.638,8.0,3.0,6.0,6.0
Darius,10.23.1,122,the Hand of Noxus,"There is no greater symbol of Noxian might than Darius, the nation's most feared and battle-hardened commander. Rising from humble origins to become the Hand of Noxus, he cleaves through the empire's enemies—many of them Noxians themselves. Knowing that...","['Fighter', 'Tank']",Mana,582.24,100.0,263.0,57.5,340.0,39.0,4.0,32.1,1.25,175.0,10.0,0.95,6.6,0.35,0.0,0.0,64.0,5.0,1.0,0.625,9.0,5.0,1.0,2.0
Diana,10.23.1,131,Scorn of the Moon,"Bearing her crescent moonblade, Diana fights as a warrior of the Lunari—a faith all but quashed in the lands around Mount Targon. Clad in shimmering armor the color of winter snow at night, she is a living embodiment of the silver moon's power. Imbued...","['Fighter', 'Mage']",Mana,570.0,95.0,375.0,25.0,345.0,31.0,3.6,32.1,1.25,150.0,7.5,0.85,8.0,0.8,0.0,0.0,57.0,3.0,2.25,0.625,7.0,6.0,8.0,4.0
Draven,10.23.1,119,the Glorious Executioner,"In Noxus, warriors known as Reckoners face one another in arenas where blood is spilled and strength tested—but none has ever been as celebrated as Draven. A former soldier, he found that the crowds uniquely appreciated his flair for the dramatic, and...",['Marksman'],Mana,605.0,90.0,360.56,39.0,330.0,29.0,3.3,30.0,0.5,550.0,3.75,0.7,8.042,0.65,0.0,0.0,60.0,3.61,2.7,0.679,9.0,3.0,1.0,8.0
DrMundo,10.23.1,36,the Madman of Zaun,"Utterly insane, unrepentantly homicidal, and horrifyingly purple, Dr. Mundo is what keeps many of Zaun's citizens indoors on particularly dark nights. This monosyllabic monstrosity seems to want nothing more than pain—both the giving of it, and the...","['Fighter', 'Tank']",None,582.52,89.0,0.0,0.0,345.0,36.0,3.5,32.1,1.25,125.0,8.0,0.75,0.0,0.0,0.0,0.0,61.27,3.5,2.8,0.721,5.0,7.0,6.0,5.0
Ekko,10.23.1,245,the Boy Who Shattered Time,"A prodigy from the rough streets of Zaun, Ekko manipulates time to twist any situation to his advantage. Using his own invention, the Zero Drive, he explores the branching possibilities of reality to craft the perfect moment. Though he revels in this...","['Assassin', 'Fighter']",Mana,585.0,85.0,280.0,70.0,340.0,32.0,3.0,32.0,1.25,125.0,9.0,0.9,7.0,0.8,0.0,0.0,58.0,3.0,3.3,0.688,5.0,3.0,7.0,8.0
Elise,10.23.1,60,the Spider Queen,"Elise is a deadly predator who dwells in a shuttered, lightless palace, deep within the oldest city of Noxus. Once mortal, she was the mistress of a powerful house, but the bite of a vile demigod transformed her into something beautiful, yet utterly...","['Mage', 'Fighter']",Mana,534.0,93.0,324.0,50.0,330.0,27.0,3.35,30.0,0.5,550.0,5.5,0.6,6.0,0.8,0.0,0.0,55.0,3.0,1.75,0.625,6.0,5.0,7.0,9.0
Evelynn,10.23.1,28,Agony's Embrace,"Within the dark seams of Runeterra, the demon Evelynn searches for her next victim. She lures in prey with the voluptuous façade of a human female, but once a person succumbs to her charms, Evelynn's true form is unleashed. She then subjects her victim...","['Assassin', 'Mage']",Mana,572.0,84.0,315.0,42.0,335.0,37.0,3.5,32.1,1.25,125.0,8.5,0.75,8.11,0.6,0.0,0.0,61.0,3.0,2.1,0.667,4.0,2.0,7.0,10.0
Ezreal,10.23.1,81,the Prodigal Explorer,"A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way...","['Marksman', 'Mage']",Mana,530.0,88.0,375.0,70.0,325.0,22.0,3.5,30.0,0.5,550.0,4.0,0.55,8.5,0.65,0.0,0.0,60.0,2.5,2.5,0.625,7.0,2.0,6.0,7.0
Fiddlesticks,10.23.1,9,the Ancient Fear,"Something has awoken in Runeterra. Something ancient. Something terrible. The ageless horror known as Fiddlesticks stalks the edges of mortal society, drawn to areas thick with paranoia where it feeds upon terrorized victims. Wielding a jagged scythe...","['Mage', 'Support']",Mana,580.4,92.0,500.0,28.0,335.0,34.0,3.5,30.0,0.5,480.0,5.5,0.6,8.0,0.8,0.0,0.0,55.36,2.625,2.11,0.625,2.0,3.0,9.0,9.0
Fiora,10.23.1,114,the Grand Duelist,"The most feared duelist in all Valoran, Fiora is as renowned for her brusque manner and cunning mind as she is for the speed of her bluesteel rapier. Born to House Laurent in the kingdom of Demacia, Fiora took control of the family from her father in...","['Fighter', 'Assassin']",Mana,550.0,85.0,300.0,60.0,345.0,33.0,3.5,32.1,1.25,150.0,8.5,0.55,8.0,0.7,0.0,0.0,68.0,3.3,3.2,0.69,10.0,4.0,2.0,3.0
Fizz,10.23.1,105,the Tidal Trickster,"Fizz is an amphibious yordle, who dwells among the reefs surrounding Bilgewater. He often retrieves and returns the tithes cast into the sea by superstitious captains, but even the saltiest of sailors know better than to cross him—for many are the tales...","['Assassin', 'Fighter']",Mana,570.0,98.0,317.2,57.0,335.0,22.412,3.4,32.1,1.25,175.0,8.0,0.7,6.0,0.8,0.0,0.0,58.04,3.0,3.1,0.658,6.0,4.0,7.0,6.0
Galio,10.23.1,3,the Colossus,"Outside the gleaming city of Demacia, the stone colossus Galio keeps vigilant watch. Built as a bulwark against enemy mages, he often stands motionless for decades until the presence of powerful magic stirs him to life. Once activated, Galio makes the...","['Tank', 'Mage']",Mana,562.0,112.0,500.0,40.0,335.0,24.0,3.5,32.0,1.25,150.0,8.0,0.8,9.5,0.7,0.0,0.0,59.0,3.5,1.5,0.625,1.0,10.0,6.0,5.0
Gangplank,10.23.1,41,the Saltwater Scourge,"As unpredictable as he is brutal, the dethroned reaver king Gangplank is feared far and wide. Once, he ruled the port city of Bilgewater, and while his reign is over, there are those who believe this has only made him more dangerous. Gangplank would see...",['Fighter'],Mana,540.0,82.0,280.0,60.0,345.0,35.0,3.0,32.1,1.25,125.0,6.0,0.6,7.5,0.7,0.0,0.0,64.0,3.0,3.2,0.658,7.0,6.0,4.0,9.0
Garen,10.23.1,86,The Might of Demacia,"A proud and noble warrior, Garen fights as one of the Dauntless Vanguard. He is popular among his fellows, and respected well enough by his enemies—not least as a scion of the prestigious Crownguard family, entrusted with defending Demacia and its...","['Fighter', 'Tank']",None,620.0,84.0,0.0,0.0,340.0,36.0,3.0,32.1,0.75,175.0,8.0,0.5,0.0,0.0,0.0,0.0,66.0,4.5,3.65,0.625,7.0,7.0,1.0,5.0
Gnar,10.23.1,150,the Missing Link,"Gnar is a primeval yordle whose playful antics can erupt into a toddler's outrage in an instant, transforming him into a massive beast bent on destruction. Frozen in True Ice for millennia, the curious creature broke free and now hops about a changed...","['Fighter', 'Tank']",Rage,510.0,65.0,100.0,0.0,335.0,32.0,2.5,30.0,0.5,175.0,4.5,1.75,0.0,0.0,0.0,0.0,59.0,3.0,6.0,0.625,6.0,5.0,5.0,8.0
Gragas,10.23.1,79,the Rabble Rouser,"Equal parts jolly and imposing, Gragas is a massive, rowdy brewmaster on his own quest for the perfect pint of ale. Hailing from parts unknown, he now searches for rare ingredients among the unblemished wastes of the Freljord, trying each recipe as he...","['Fighter', 'Mage']",Mana,600.0,95.0,400.0,47.0,330.0,38.0,3.6,32.1,1.25,125.0,5.5,0.5,6.0,0.8,0.0,0.0,64.0,3.5,2.05,0.675,4.0,7.0,6.0,5.0
Graves,10.23.1,104,the Outlaw,"Malcolm Graves is a renowned mercenary, gambler, and thief—a wanted man in every city and empire he has visited. Even though he has an explosive temper, he possesses a strict sense of criminal honor, often enforced at the business end of his...",['Marksman'],Mana,555.0,92.0,325.0,40.0,340.0,33.0,3.4,32.0,1.25,425.0,8.0,0.7,8.0,0.7,0.0,0.0,68.0,3.0,2.6,0.475,8.0,5.0,3.0,3.0
Hecarim,10.23.1,120,the Shadow of War,"Hecarim is a spectral fusion of man and beast, cursed to ride down the souls of the living for all eternity. When the Blessed Isles fell into shadow, this proud knight was obliterated by the destructive energies of the Ruination, along with all his...","['Fighter', 'Tank']",Mana,580.0,90.0,277.2,60.0,345.0,36.0,4.0,32.1,1.25,175.0,7.0,0.75,6.5,0.6,0.0,0.0,66.0,3.2,2.5,0.67,8.0,6.0,4.0,6.0
Heimerdinger,10.23.1,74,the Revered Inventor,"A brilliant yet eccentric yordle scientist, Professor Cecil B. Heimerdinger is one of the most innovative and esteemed inventors Piltover has ever known. Relentless in his work to the point of neurotic obsession, he thrives on answering the universe's...","['Mage', 'Support']",Mana,488.0,87.0,385.0,20.0,340.0,19.04,3.0,30.0,0.5,550.0,7.0,0.55,8.0,0.8,0.0,0.0,55.536,2.7,1.36,0.625,2.0,6.0,8.0,8.0
Illaoi,10.23.1,420,the Kraken Priestess,"Illaoi's powerful physique is dwarfed only by her indomitable faith. As the prophet of the Great Kraken, she uses a huge, golden idol to rip her foes' spirits from their bodies and shatter their perception of reality. All who challenge the “Truth Bearer...","['Fighter', 'Tank']",Mana,585.6,95.0,300.0,40.0,340.0,35.0,3.8,32.1,1.25,125.0,9.5,0.8,7.5,0.75,0.0,0.0,68.0,5.0,2.5,0.571,8.0,6.0,3.0,4.0
Irelia,10.23.1,39,the Blade Dancer,"The Noxian occupation of Ionia produced many heroes, none more unlikely than young Irelia of Navori. Trained in the ancient dances of her province, she adapted her art for war, using the graceful and carefully practised movements to levitate a host of...","['Fighter', 'Assassin']",Mana,580.0,95.0,350.0,50.0,335.0,36.0,3.0,32.0,1.25,200.0,8.5,0.85,8.0,0.8,0.0,0.0,63.0,4.0,2.5,0.656,7.0,4.0,5.0,5.0
Ivern,10.23.1,427,the Green Father,"Ivern Bramblefoot, known to many as the Green Father, is a peculiar half man, half tree who roams Runeterra's forests, cultivating life everywhere he goes. He knows the secrets of the natural world, and holds deep friendships with all things that grow...","['Support', 'Mage']",Mana,585.0,95.0,450.0,60.0,330.0,27.0,3.5,32.1,1.25,475.0,7.0,0.85,6.0,0.75,0.0,0.0,50.0,3.0,3.4,0.644,3.0,5.0,7.0,7.0
Janna,10.23.1,40,the Storm's Fury,"Armed with the power of Runeterra's gales, Janna is a mysterious, elemental wind spirit who protects the dispossessed of Zaun. Some believe she was brought into existence by the pleas of Runeterra's sailors who prayed for fair winds as they navigated...","['Support', 'Mage']",Mana,500.0,70.0,350.0,64.0,315.0,28.0,3.8,30.0,0.5,550.0,5.5,0.55,11.5,0.4,0.0,0.0,46.0,1.5,2.95,0.625,3.0,5.0,7.0,7.0
JarvanIV,10.23.1,59,the Exemplar of Demacia,"Prince Jarvan, scion of the Lightshield dynasty, is heir apparent to the throne of Demacia. Raised to be a paragon of his nation's greatest virtues, he is forced to balance the heavy expectations placed upon him with his own desire to fight on the front...","['Tank', 'Fighter']",Mana,570.0,90.0,300.0,40.0,340.0,34.0,3.6,32.1,1.25,175.0,8.0,0.7,6.5,0.45,0.0,0.0,64.0,3.4,2.5,0.658,6.0,8.0,3.0,5.0
Jax,10.23.1,24,Grandmaster at Arms,"Unmatched in both his skill with unique armaments and his biting sarcasm, Jax is the last known weapons master of Icathia. After his homeland was laid low by its own hubris in unleashing the Void, Jax and his kind vowed to protect what little remained...","['Fighter', 'Assassin']",Mana,592.8,85.0,338.8,52.0,350.0,36.0,3.0,32.1,1.25,125.0,8.5,0.55,7.576,0.7,0.0,0.0,68.0,3.375,3.4,0.638,7.0,5.0,7.0,5.0
Jayce,10.23.1,126,the Defender of Tomorrow,"Jayce is a brilliant inventor who has pledged his life to the defense of Piltover and its unyielding pursuit of progress. With his transforming hextech hammer in hand, Jayce uses his strength, courage, and considerable intelligence to protect his...","['Fighter', 'Marksman']",Mana,560.0,90.0,375.0,45.0,335.0,27.0,3.5,30.0,0.5,125.0,6.0,0.6,6.0,0.8,0.0,0.0,54.0,4.25,3.0,0.658,8.0,4.0,3.0,7.0
Jhin,10.23.1,202,the Virtuoso,"Jhin is a meticulous criminal psychopath who believes murder is art. Once an Ionian prisoner, but freed by shadowy elements within Ionia's ruling council, the serial killer now works as their cabal's assassin. Using his gun as his paintbrush, Jhin...","['Marksman', 'Mage']",Mana,585.0,93.0,300.0,50.0,330.0,24.0,3.5,30.0,0.5,550.0,3.75,0.55,6.0,0.8,0.0,0.0,59.0,4.7,0.0,0.625,10.0,2.0,6.0,6.0
Jinx,10.23.1,222,the Loose Cannon,"A manic and impulsive criminal from Zaun, Jinx lives to wreak havoc without care for the consequences. With an arsenal of deadly weapons, she unleashes the loudest blasts and brightest explosions to leave a trail of mayhem and panic in her wake. Jinx...",['Marksman'],Mana,610.0,86.0,245.0,45.0,325.0,28.0,3.5,30.0,0.5,525.0,3.75,0.5,6.7,1.0,0.0,0.0,57.0,3.4,1.0,0.625,9.0,2.0,4.0,6.0
Kaisa,10.23.1,145,Daughter of the Void,"Claimed by the Void when she was only a child, Kai'Sa managed to survive through sheer tenacity and strength of will. Her experiences have made her a deadly hunter and, to some, the harbinger of a future they would rather not live to see. Having entered...",['Marksman'],Mana,600.0,88.0,344.88,38.0,335.0,28.0,3.0,30.0,0.5,525.0,3.5,0.55,8.2,0.45,0.0,0.0,59.0,2.0,1.8,0.644,8.0,5.0,3.0,6.0
Kalista,10.23.1,429,the Spear of Vengeance,"A specter of wrath and retribution, Kalista is the undying spirit of vengeance, an armored nightmare summoned from the Shadow Isles to hunt deceivers and traitors. The betrayed may cry out in blood to be avenged, but Kalista only answers those willing...",['Marksman'],Mana,534.0,100.0,250.0,45.0,325.0,21.0,4.0,30.0,0.5,525.0,3.75,0.55,6.3,0.4,0.0,0.0,69.0,3.5,4.0,0.694,8.0,2.0,4.0,7.0
Karma,10.23.1,43,the Enlightened One,"No mortal exemplifies the spiritual traditions of Ionia more than Karma. She is the living embodiment of an ancient soul reincarnated countless times, carrying all her accumulated memories into each new life, and blessed with power that few can...","['Mage', 'Support']",Mana,534.0,95.0,374.0,50.0,335.0,26.0,3.8,30.0,0.5,525.0,5.5,0.55,11.5,0.5,0.0,0.0,53.544,3.3,2.3,0.625,1.0,7.0,8.0,5.0
Karthus,10.23.1,30,the Deathsinger,"The harbinger of oblivion, Karthus is an undying spirit whose haunting songs are a prelude to the horror of his nightmarish appearance. The living fear the eternity of undeath, but Karthus sees only beauty and purity in its embrace, a perfect union of...",['Mage'],Mana,550.0,87.0,467.0,30.5,335.0,18.0,3.5,30.0,0.5,450.0,6.5,0.55,8.0,0.8,0.0,0.0,45.66,3.25,2.11,0.625,2.0,2.0,10.0,7.0
Kassadin,10.23.1,38,the Void Walker,"Cutting a burning swath through the darkest places of the world, Kassadin knows his days are numbered. A widely traveled Shuriman guide and adventurer, he had chosen to raise a family among the peaceful southern tribes—until the day his village was...","['Assassin', 'Mage']",Mana,576.0,90.0,400.0,87.0,335.0,19.0,2.8,30.0,0.5,150.0,6.0,0.5,6.0,0.8,0.0,0.0,58.852,3.9,3.7,0.64,3.0,5.0,8.0,8.0
Katarina,10.23.1,55,the Sinister Blade,"Decisive in judgment and lethal in combat, Katarina is a Noxian assassin of the highest caliber. Eldest daughter to the legendary General Du Couteau, she made her talents known with swift kills against unsuspecting enemies. Her fiery ambition has driven...","['Assassin', 'Mage']",None,602.0,94.0,0.0,0.0,340.0,27.88,3.5,32.1,1.25,125.0,7.5,0.7,0.0,0.0,0.0,0.0,58.0,3.2,2.74,0.658,4.0,3.0,9.0,8.0
Kayle,10.23.1,10,the Righteous,"Born to a Targonian Aspect at the height of the Rune Wars, Kayle honored her mother's legacy by fighting for justice on wings of divine flame. She and her twin sister Morgana were the protectors of Demacia for many years—until Kayle became disillusioned...","['Fighter', 'Support']",Mana,600.0,85.0,330.0,50.0,335.0,26.0,3.0,34.0,0.5,175.0,5.0,0.5,8.0,0.8,0.0,0.0,50.0,2.5,1.5,0.625,6.0,6.0,7.0,7.0
Kayn,10.23.1,141,the Shadow Reaper,"A peerless practitioner of lethal shadow magic, Shieda Kayn battles to achieve his true destiny—to one day lead the Order of Shadow into a new era of Ionian supremacy. He wields the sentient darkin weapon Rhaast, undeterred by its creeping corruption of...","['Fighter', 'Assassin']",Mana,585.0,85.0,410.0,50.0,340.0,38.0,3.3,32.1,1.25,175.0,8.0,0.75,11.5,0.95,0.0,0.0,68.0,3.3,2.7,0.669,10.0,6.0,1.0,8.0
Kennen,10.23.1,85,the Heart of the Tempest,"More than just the lightning-quick enforcer of Ionian balance, Kennen is the only yordle member of the Kinkou. Despite his small, furry stature, he is eager to take on any threat with a whirling storm of shuriken and boundless enthusiasm. Alongside his...","['Mage', 'Marksman']",Energy,541.0,84.0,200.0,0.0,335.0,29.0,3.75,30.0,0.5,550.0,5.5,0.65,50.0,0.0,0.0,0.0,48.0,3.75,3.4,0.625,6.0,4.0,7.0,4.0
Khazix,10.23.1,121,the Voidreaver,"The Void grows, and the Void adapts—in none of its myriad spawn are these truths more apparent than Kha'Zix. Evolution drives the core of this mutating horror, born to survive and to slay the strong. Where it struggles to do so, it grows new, more...",['Assassin'],Mana,572.8,85.0,327.2,40.0,350.0,36.0,3.0,32.1,1.25,125.0,7.5,0.75,7.59,0.5,0.0,0.0,63.0,3.1,2.7,0.668,9.0,4.0,3.0,6.0
Kindred,10.23.1,203,The Eternal Hunters,"Separate, but never parted, Kindred represents the twin essences of death. Lamb's bow offers a swift release from the mortal realm for those who accept their fate. Wolf hunts down those who run from their end, delivering violent finality within his...",['Marksman'],Mana,540.0,85.0,300.0,35.0,325.0,29.0,3.5,30.0,0.5,500.0,7.0,0.55,7.0,0.4,0.0,0.0,65.0,2.5,3.5,0.625,8.0,2.0,2.0,4.0
Kled,10.23.1,240,the Cantankerous Cavalier,"A warrior as fearless as he is ornery, the yordle Kled embodies the furious bravado of Noxus. He is an icon beloved by the empire's soldiers, distrusted by its officers, and loathed by the nobility. Many claim Kled has fought in every campaign the...","['Fighter', 'Tank']",Courage,340.0,70.0,100.0,0.0,345.0,35.0,4.0,28.0,1.25,125.0,6.0,0.75,0.0,0.0,0.0,0.0,65.0,3.5,3.5,0.625,8.0,2.0,2.0,7.0
KogMaw,10.23.1,96,the Mouth of the Abyss,"Belched forth from a rotting Void incursion deep in the wastelands of Icathia, Kog'Maw is an inquisitive yet putrid creature with a caustic, gaping mouth. This particular Void-spawn needs to gnaw and drool on anything within reach to truly understand it...","['Marksman', 'Mage']",Mana,565.0,85.0,325.0,40.0,330.0,24.0,3.25,30.0,0.5,500.0,3.75,0.55,8.75,0.7,0.0,0.0,61.0,3.11,2.65,0.665,8.0,2.0,5.0,6.0
